,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
3586, Al-Tayyar Travel Group Holding Building Al Takhasousi Street Al Olaya District 52660 Saudi Arabia Riyadh 11573 ,Provides freight forwarding and travel agency services.,Saudi Arabia,2001, Also known as: ATC Last updated on: 28 February 2019 ,"Al Tayyar Travel, Tourism and Cargo Company Limited ",500,Private,Transport,"Tel: +966 11-464-3334,Fax: +966 11-465-6049,Fax: +966 11-465-2267,Email: cargo@altayyargroup.com,"
3587, Ace Travel Building Khreiss Road 1st and 2nd Floor Al Sulaymaniyah District 1011 Saudi Arabia Riyadh 11431 ,Provides engineering consultancy services; civil contracting for commercial and residential buildings.,Saudi Arabia,1968, Last updated on: 28 February 2018 ,Mawarid International Company ,500,Private,Construction,"Tel: +966 11-464-2232,Tel: +966 11-462-2265,Fax: +966 11-478-4701,"
3588, Arabian Telecommunications & Electronics Company Building Al Ahsa Street 2006 Saudi Arabia Riyadh 11451 ,Distribution of telephones and digital key telephone systems.,Saudi Arabia,1982," Also known as: AT and E, AT&E Last updated on: 28 September 2018 ",Arabian Telecommunications & Electronics Company ,250,Private,Telecommunications,"Tel: +966 11-478-4909,Fax: +966 11-477-7803,Email: abm@abmsate.com.sa,"
3589, Bugshan Hospital Building Prince Mohammed Bin Abdulaziz Street Al Faisaliah District 5860 Saudi Arabia Jeddah 21432 ,Ownership and operation of a hospital.,Saudi Arabia,1980, Also known as: BH Last updated on: 21 January 2019 ,Bugshan Hospital ,150,Private,Health Care,"Tel: +966 12-669-1222,Fax: +966 12-665-6061,Email: info@bugshan.med.sa,www.bugshan.med.sa,"
3590, Saudi Institute for Health Services Building Prince Sultan Street 6062 Saudi Arabia Jeddah 21422 ,Provides medical education and training services.,Saudi Arabia,2000, Also known as: SIHS Last updated on: 29 August 2018 ,Saudi Institute for Health Services ,-,Private,Education,"Tel: +966 12-697-1705,Fax: +966 12-691-4341,Fax: +966 12-257-5906,Email: info@sihs.org,"
3591, Mada Gypsum Company Building King Abdulaziz Road Yanbu Industrial Area 31542 Saudi Arabia Yanbu 51000 ,Production of gypsum plasters and plasterboards.,Saudi Arabia,2007, Also known as: MGC Last updated on: 07 December 2018 ,Mada Gypsum Company ,200,Private,Industrial Manufacturing,"Tel: +966 14-325 -3253,Tel: +966 56-461-9968,Fax: +966 14-325 -0420,Email: info@madagypsum.com,www.madagypsum.com,"
3592," King's Road Tower King Abdulaziz Road 26th Floor, Office 2603 Ash Shati District 11799 Saudi Arabia Jeddah 21463 ","Manufacture of precast concrete products including walls, beams, columns, staircases, boundary walls, girders and barriers.",Saudi Arabia,2006, Also known as: PreTech Last updated on: 14 July 2017 ,Precast Technologies Company Ltd. ,,Private,Industrial Manufacturing,"Tel: +966 12-606-8875,Tel: +966 12-659-7882,Tel: +966 12-659-7884,Fax: +966 12-606-8872,Fax: +966 12-659-7876,Email: info@precast-tech.net,"
3593, Pan Gulf Holding Company Building Corniche Road 5th Floor 2473 Saudi Arabia Al Khobar 31952 ,"Distribution of general food products including cheese, cashews, chocolate, butter, cake mix, yeast, tomato paste and biscuits; skin care and hair care products; production of fish, meat, vegetables and poultry frozen products.",Saudi Arabia,1990, Also known as: SPG Food Last updated on: 16 May 2018 ,Pan Gulf Foods Company Ltd. ,,Private,Food and Beverages,"Tel: +966 13-867-0333,Tel: +966 13-867-0444,Fax: +966 13-867-3866,Fax: +966 13-896-2497,Email: corp@saudipangulf.com,www.spgfood.com,"
3594, Mohammed Al-Ojaimi Group Building Abu Hadriyah Highway Ground Floor 1259 Saudi Arabia Dammam 31431 ,Provides travel agency services.,Saudi Arabia,1995, Last updated on: 16 April 2018 ,Al-Ojaimi Travel & Tourism Agency ,10,Private,Leisure and Tourism,"Tel: +966 13-822-1800,Fax: +966 13-822-3228,Email: travel@alojaimi.com,www.alojaimi.com/travel,"
3595, Zamil Group Holding Company Building Al Farazdaq Street Ground Floor Al Malaz Area 15130 Saudi Arabia Riyadh 11444 ,Provides electromechanical contracting.,Saudi Arabia,1986, Also known as: DSI Last updated on: 07 September 2018 ,Drake & Scull International WLL ,8500,Foreign,Construction,"Tel: +966 11-291-5390,Tel: +966 11-464-3037,Fax: +966 11-291-8052,Fax: +966 11-464-3275,Email: dsiksa@drakeskull.com,"
3596, Arabian Aluminum Company Building Jeddah South Industrial Area 3 14324 Saudi Arabia Jeddah 21424 ,"Manufacture of aluminum products including glazed aluminum facades, skylights, handrails, stairs and steel structures; manufacture of glass processors.",Saudi Arabia,2005, Also known as: Alumco KSA Last updated on: 07 August 2017 ,Arabian Aluminum Company Limited ,700,Foreign,Industrial Manufacturing,"Tel: +966 12-608-0805,Tel: +966 12-608-1776,Fax: +966 12-608-1212,Email: info.ksa@alumcogroup.com,"
3597," Mada Commercial Tower 1 Prince Turki Street 5th Floor, Office B504 Corniche District 1720 Saudi Arabia Al Khobar 31952 ","Provides civil contracting for oil, gas, water and petrochemical projects; installation of pipelines; provides engineering consultancy services; offshore contracting.",Saudi Arabia,2010, Last updated on: 21 February 2018 ,Saudi Toyo Engineering Company ,3,Private,Construction,"Tel: +966 13-897-0072,Fax: +966 13-893-8006,"
3598, FAL Shopping Center King Abdulaziz Road Salahuddin Area 4900 Saudi Arabia Riyadh 11412 ,Ownership and operation of a shopping mall.,Saudi Arabia,1983, Last updated on: 20 November 2017 ,FAL Shopping Center ,,Private,Real Estate,"Tel: +966 11-454-3901,"
3599, Al Abdullatif Industrial Investment Company Building Al Kharj Road 3rd and 4th Floor Riyadh Second Industrial City 859 Saudi Arabia Riyadh 11421 ,Manufacture of weaving carpets and rugs.,Saudi Arabia,2009," Also known as: FCC, First Carpet Last updated on: 14 January 2019 ",First Carpet Company ,80,Private,Industrial Manufacturing,"Tel: +966 11-265-8888,Fax: +966 11-265-9999,Email: scf@carpets.com,"
3600, National Industrialization Petrochemical Marketing Company Building C3 Eastern Ring Road Al Qurtuba Area 26707 Saudi Arabia Riyadh 11496 ,"Distribution of propylene, polypropylene and petrochemicals.",Saudi Arabia,2001," Also known as: NIPMC, Tasnee Marketing Last updated on: 11 March 2019 ",National Industrialization Petrochemical Marketing Company ,20,Private,Oil and Gas,"Tel: +966 11-222-2205,Tel: +966 11-417-4264,Fax: +966 11-417-4198,Email: marketing@tasnee.com,www.tasnee.com,"
3601, King Abdullah Medical City Building Al Aziziyah District 57657 Saudi Arabia Makkah 21955 ,Ownership and operation of hospitals.,Saudi Arabia,2007, Also known as: KAMC Last updated on: 31 October 2018 ,King Abdullah Medical City ,3000,Government,Health Care,"Tel: +966 12-554-9999,Fax: +966 12-553-2239,Email: info@kamc.med.sa,www.kamc.med.sa,"
3602, Abrasive Technology Industries Company Building 3561 Dammam Industrial Area 2 11858 Saudi Arabia Dammam 31463 ,Manufacture of cutting and grinding wheels.,Saudi Arabia,2010, Also known as: ATI Last updated on: 29 March 2019 ,Abrasive Technology Industries Company ,120,Foreign,Industrial Manufacturing,"Tel: +966 13-808-3980,Tel: +966 13-887-8268,Fax: +966 13-831-0359,Email: info@ati-gulf.com,www.ati-gulf.com,"
3603, FAL Holdings Arabia Co. Ltd FAL Holdings Arabia Co. Ltd Building Al Orouba Street 1st Floor Al Sulaymaniyah Area 4900 Saudi Arabia Riyadh 11412 ,Manufacture of asphalt.,Saudi Arabia,1988, Also known as: Novophalt Last updated on: 14 January 2019 ,"Novophalt Saudi Arabia Co., Ltd. (dissolved)",-,Private,Industrial Manufacturing,"Tel: +966 11-419-2990,Fax: +966 11-419-2239,Email: novophalt@falgroup.com.sa,"
3604, Aloula Mwared Real Estate Company Building King Abdullah Bin abdulaziz Street 3588 Saudi Arabia Al Khobar 31952 ,Provides real estate property investment and development.,Saudi Arabia,2010, Also known as: Aloula Mwared Last updated on: 31 October 2018 ,Aloula Mwared Real Estate Company ,10,Private,Real Estate,"Tel: +966 13-899-6999,Fax: +966 13-899-0227,Email: mwared@aloula.com,"
3605, Jeddah Commercial Centre Building Al Maadi Street 3rd Floor Al Hamra Area 7346 Saudi Arabia Jeddah 21462 ,Provides legal consultancy services.,Saudi Arabia,1969, Also known as: GPA Last updated on: 11 April 2019 ,Al-Ghazzawi Professional Association ,28,Private,Services,"Tel: +966 12-653-1576,Fax: +966 12-653-2612,Email: gpa.jeddah@ghazzawilawfirm.com,www.ghazzawilawfirm.com,"
3606, Clean Environment Technologies Company Building Prince Sultan Street 402 Saudi Arabia Al Khobar 31952 ,Provides waste management services.,Saudi Arabia,2005, Also known as: CET Last updated on: 31 December 2018 ,Clean Environment Technologies Company ,30,Private,Services,"Tel: +966 13-668-4277,Tel: +966 13-668-4279,Fax: +966 13-857-0132,Email: info@cet.com.sa,www.cet.com.sa,"
3607, Rawabi Holding Company Building Prince Majed Street Al Khobar Al Shamalia Area 79800 Saudi Arabia Al Khobar 31952 ,"Provides oil and gas field services including well head installation, heat treatment and welding services.",Saudi Arabia,2005, Last updated on: 28 September 2018 ,Rawabi Hot-Hed ,60,Private,Oil and Gas,"Tel: +966 13-865-7055,Tel: +966 13-814-0375,Tel: +966 13-864-9909,Fax: +966 13-865-5785,Email: arabia@hot-hed.com,"
3608, Rawabi Industrial Support Services Building Old Abqaiq Road 30671 Saudi Arabia Al Khobar,"Provides cathodic protection, heat treatment, pipeline inspection and surveys works; provides engineering consultancy services.",Saudi Arabia,2003," Also known as: RISS, Rawabi Last updated on: 13 February 2017 ",Rawabi Industrial Support Services ,300,Private,Construction,"Tel: +966 13-847-5117,Fax: +966 13-847-5117,Email: ino@riss.com.sa,www.riss.com.sa,"
3609, Crescent Transportation Company Building Dammam Port Road Ground Floor 1232 Saudi Arabia Dammam 31952 ,Distribution of automotive spare parts and accessories.,Saudi Arabia,1998, Last updated on: 15 March 2019 ,Rezayat Automotive ,6,Private,Transport,"Tel: +966 13-814-0363,Tel: +966 13-814-0362,Fax: +966 13-814-0361,Email: automotive@rezayat.com.sa,Email: automotive.info@rezayat.net,"
3610, Al Khairiah North Building King Fahad Street 2nd Floor Olaya Area 19462 Saudi Arabia Riyadh 11435 ,"Distributes software solutions including customer relationship management, direct marketing, retail stores and web sites.",Saudi Arabia,2002, Last updated on: 20 August 2018 ,Wunderman Saudi Arabia ,-,Foreign,Information Technology,"Tel: +966 11-461-0175,Tel: +966 11-466-0750,Fax: +966 11-461-1890,Fax: +966 11-462-8219,Email: reception@wunderman-me.com,"
3611, Saudi Arabia Al Khobar,Manufacture of automotive spare parts and accessories.,Saudi Arabia,1998, Last updated on: 22 March 2019 ,Rezayat Friction Company Limited (dissolved),-,Private,Transport,
3612, Saudi Arabia Dammam,"Provides civil contracting for infrastructure, buildings and heavy projects.",Saudi Arabia,2003, Also known as: Al-Osais MCM Last updated on: 20 November 2017 ,Al-Osais MCM Company Limited (dissolved),-,Private,Construction,
3613, Unitech for Building and Construction Materials Building 50533 Saudi Arabia Jeddah 21533 ,"Manufacture and distribution of drills, rotary hammers, hammers, angle grinders, jig saws, circular saws, chop saws, orbital sanders, planers and hot air guns; distribution of construction and electrical equipment; distribution of glue for marble; distribution and maintenance of power tools; hand tools and industrial tools; distribution of steel constructions products including expanded metals, cladding fixations, c-channel systems, clamps and hangers, expanded metal and block ladders, dry wall and ceiling accessories, cable management systems; cable trays, cable ladders, cable support, steel lintels and block work accessories; distribution of scaffolds; fire stopping systems; production and distribution of steel products including electro galvanized steel, hot rolled steel plates and sheets; provides large volume commercial printing services.",Saudi Arabia,1979, Also known as: Unitech Last updated on: 18 February 2019 ,Unitech for Building and Construction Materials ,1865,Private,Industrial Manufacturing,"Tel: +966 12-627-8222,Fax: +966 12-627-8722,Email: unitech.ksa@ikkgroup.com,www.unitech-ikk.com,"
3614, Pan Gulf Welding Solutions Building Dammam Al Khobar Highway Al Rakah District 2473 Saudi Arabia Al Khobar 31952 ,"Distribution and maintenance of industrial machinery including welding machines, drilling machines, bending machines, shearing machines, laser cutting machines, rolling machines, bandsaw machines, lathe machines, milling machines, boring machines, radial drills and hydraulic presses; distribution of construction chemicals.",Saudi Arabia,2005, Also known as: WSCO Last updated on: 30 April 2018 ,Welding Solution Co ,300,Private,Industrial Manufacturing,"Tel: +966 13-857-9988,Fax: +966 13-858-9566,Fax: +966 13-858-9294,Email: info@pangulfws.com,www.pangulfws.com,"
3615, Dallah Tower Building Palastine Street Al Rehab Area 430 Saudi Arabia Jeddah 21411 ,"Provides real estate property investment, development and management",Saudi Arabia,1995, Last updated on: 30 April 2019 ,Shareek Real-Estate Marketing ,20,Private,Real Estate,"Tel: +966 12-671-0000,Tel: +966 12-606-4242,Fax: +966 12-671-3603,Email: info@shareek.sa,www.shareek.sa,"
3616, Dallah Tower Palestine Street 12th Floor 430 Saudi Arabia Jeddah 21411 ,Provides travel agency services.,Saudi Arabia,1991, Last updated on: 23 November 2018 ,Dallah General Services Company ,50,Private,Leisure and Tourism,"Tel: +966 12-671-0000,Tel: +966 12-674-4723,Fax: +966 12-674-0101,"
3617, Dallah Tower Palestine Street 12th Floor 430 Saudi Arabia Jeddah 21411 ,Provides travel agency services.,Saudi Arabia,1991, Last updated on: 23 November 2018 ,Dallah General Services Company ,50,Private,Leisure and Tourism,"Tel: +966 12-671-0000,Tel: +966 12-674-4723,Fax: +966 12-674-0101,"
3618, Al Suwailem Building Al Dabab Street 26250 Saudi Arabia Olaya 11486 ,Provides electromechanical contracting.,Saudi Arabia,2008, Also known as: Advanced Energy Last updated on: 24 September 2018 ,Advanced Energy LLC ,350,Foreign,Construction,"Tel: +966 11-402-1231,Fax: +966 11-402-0567,Email: aecc@aecc.com.sa,"
3619," Nurol United Arabian Building Mohammedia Street 1st Floor,Office 403 Mohammedia Area 4865 Saudi Arabia Riyadh 11412 ","Provides civil contracting services for infrastructure, residential and industrial projects.",Saudi Arabia,2013, Last updated on: 08 February 2018 ,Nurol United Arabian Limited ,7,Foreign,Construction,"Tel: +966 11-269-4555,Fax: +966 11-269-3555,"
3620, Elaf Al Salam Hotel Makkah Al Mukarramah Street Riee Baksh Area 4255 Saudi Arabia Makkah 21955 ,Ownership and operation of a hotel.,Saudi Arabia,2005, Last updated on: 08 March 2019 ,Elaf Al Salam Hotel ,60,Private,Leisure and Tourism,"Tel: +966 12-535-6327,Fax: +966 12-535-6328,Email: info@elafalsalam.online,www.elafalsalam.online,"
3621, Elaf Kinda Hotel Al Mesial Street Ash Shubaikah Area 4616 Saudi Arabia Makkah,Ownership and operation of a hotel.,Saudi Arabia,1997, Also known as: Elaf Kinda Last updated on: 08 October 2018 ,Elaf Kinda Hotel ,150,Private,Leisure and Tourism,"Tel: +966 12-574-5555,Fax: +966 12-574-3535,Email: info@elafkinda.com,Email: info-kinda@elafhotel.com,"
3622, Al-Jawad Al-Abyad Residence Building Prince Fahad Street Hay Al Radwa Area 126125 Saudi Arabia Jeddah 21352 ,Ownership and operation of residential compounds.,Saudi Arabia,2000, Last updated on: 24 July 2018 ,Al-Jawad Al-Abyad Residence ,5,Private,Leisure and Tourism,"Tel: +966 12-605-5050,Fax: +966 12-605-7780,"
3623, Al Yamamah Hospital Building Al Emam Al Shafeay Street Al Manar Area 60989 Saudi Arabia Riyadh 11555 ,Ownership and operation of a hospital.,Saudi Arabia,2000, Last updated on: 30 November 2018 ,Al Yamamah Hospital ,5,Government,Health Care,"Tel: +966 11-491-4444,Fax: +966 11-208-3060,"
3624, Amiantit Epoxy Pipe Production Plant Building Dammam Industrial Area 589 Saudi Arabia Dammam 31421 ,"Manufacture of glass reinforced pipes, fittings, flanges and spools.",Saudi Arabia,2003, Also known as: AMIPOX Last updated on: 28 September 2018 ,Amiantit Epoxy Pipe Production Plant ,100,Private,Industrial Manufacturing,"Tel: +966 13-847-1500,Fax: +966 13-847-2916,Email: info@amiantit.com,"
3625, Zahran Holding Building Al Ourouba Street Al Olaya District Saudi Arabia Riyadh,Provides security services.,Saudi Arabia,N/A, Last updated on: 14 December 2018 ,Al-Joudah Security ,50,Private,Services,"Tel: +966 11-460-6444,Fax: +966 11-460-7871,"
3626, Al Jedaie Technologies Building Olaya Street 11372 Saudi Arabia Riyadh 301745 ,"Distribution of medical equipment including diagnostic, ventilators, respiratory machines, hospital beds and operating beds.",Saudi Arabia,2004, Last updated on: 01 February 2018 ,Al Jedaie Technologies ,21,Private,Health Care,"Tel: +966 11-462-1500,Tel: +966 11-293-1455,Fax: +966 11-293-1522,Email: info@aljedaie-tech.com.sa,"
3627, MENA Hotels and Resorts Street 26 Al Olaya District Area 14393 Saudi Arabia Riyadh 21452 ,Management of hotels.,Saudi Arabia,2008, Last updated on: 31 December 2018 ,MENA Hotels and Resorts ,96,Private,Leisure and Tourism,"Tel: +966 11-461-1000,Tel: +966 11-288-4433,Fax: +966 11-293-5618,Email: info@menahotelriyadh.com,https://www.menahotelriyadh.com,"
3628, Salma Commercial Center Medina Road Al Sharafiyaah District Saudi Arabia Jeddah,Provides engineering consulting services.,Saudi Arabia,1986," Also known as: TAPCo, Talal Adham & Partners Co. Last updated on: 05 September 2018 ",Talal Abbas Adham & Partners Co. ,-,Private,Construction,"Tel: +966 12-668-9240,Tel: +966 12-652-1160,Email: info@tapconsu.com,www.tapconsu.net,"
3629," Fitaihi Centre Madina Road 5th Floor,Office 601 Baghdadia Area 52530 Saudi Arabia Jeddah 21573 ",Ownership and operation of imitation jewelry retail outlets.,Saudi Arabia,2005, Also known as: Baby Fitaihi Last updated on: 25 May 2019 ,Luxury Goods Trading Company Limited ,50,Private,Retail,"Tel: +966 12-657-9668,Fax: +966 12-657-9668,Email: info@babyfitaihi.com,www.babyfitaihi.com,"
3630," C/O, Abdulkarim Al Darwish and Sons Holding Intercontinental Insurance Building Siteen Street 3rd Floor Al Malaz District 1488 Saudi Arabia Riyadh 11431 ",Production of bakery products.,Saudi Arabia,1980, Last updated on: 21 January 2019 ,Al-Tas'helat Automatic Bakeries ,20,Private,Food and Beverages,"Tel: +966 11-478-9900,Tel: +966 11-476-7100,Fax: +966 11-476-9920,Email: officem@tasgrp.com,www.tasgrp.com,"
3631, Alhenaki Center 4th floor Al Nahdah District 8899 Saudi Arabia Jeddah 23523 ,Provides electromechanical contracting.,Saudi Arabia,2009," Also known as: Networks, VNC Last updated on: 08 October 2018 ",Vision Networks Company ,,Private,Construction,"Tel: +966 12-344207,Fax: +966 12-344209,Email: admin@visionnetworks.co,www.visionnetworks.co,"
3632, Tatweer Company Building Tabouk Old Road Al Tashlih Area 20102 Saudi Arabia Medina 14455 ,Manufacture of ready mix concrete and cement.,Saudi Arabia,2008, Last updated on: 31 October 2018 ,Tatweer Company ,50,Foreign,Industrial Manufacturing,"Tel: +966 14-869-5555,Tel: +966 14-869-1111,Fax: +966 14-869-1450,Email: info@tatweerco.com.sa,www.tatweerco.com.sa,"
3633, Al Joaib Group Building Street 8 2nd Floor Dammam First Industrial City 1997 Saudi Arabia Dammam 31441 ,"Manufacture of polyethylene foams, air bubble film, safety netting, crate boxes and thermal insulation products.",Saudi Arabia,2007, Also known as: JPPF Last updated on: 24 January 2019 ,Al Joaib Plastic & Packing Factory ,30,Private,Industrial Manufacturing,"Tel: +966 13-847-2661,Tel: +966 13-847-2662,Tel: +966 13-847-2663,Fax: +966 13-847-1428,Email: info@joaibplastic.com,www.joaibplastic.com,"
3634," Andalus Center, Building 5 Al Olaya Road 5th Floor Al Worood District 2781 Saudi Arabia Riyadh 11461 ",Provides private equity and direct investments in various sectors.,Saudi Arabia,2010," Also known as: SI, Samama Investments Last updated on: 18 February 2019 ",Samama Investments Company ,8,Private,Financial Services,"Tel: +966 11-460-2545,Fax: +966 11-460-2631,Email: info@samama.com,"
3635, Saudi Arabia Jeddah,"Provides information technology consulting and outsourcing services; distribution of software solutions including cloud computing, enterprise resources planning and customer relationship management applications; provides corporate computer services including network design, configuration of gateways, servers, and devices, program training, maintenance, technical support, hardware and software installation.",Saudi Arabia,2002, Also known as: XECA Last updated on: 18 September 2017 ,Xeca International for Information Technology Limited (dissolved),-,Private,Information Technology,
3636, Rawabi Specialized Enclosures Building Dammam Second Industrial City 79800 Saudi Arabia Dammam 31952 ,"Manufacture of prefabricated buildings including telecom shelters, cold stores and refrigerated trucks.",Saudi Arabia,2001, Also known as: RSE Last updated on: 19 November 2018 ,Rawabi Specialized Enclosures ,50,Private,Industrial Manufacturing,"Tel: +966 13-812-3282,Fax: +966 13-812-3292,Email: info@rse.com.sa,www.rse.com.sa,"
3637, Rawabi Specialized Enclosures Building Dammam Second Industrial City 79800 Saudi Arabia Dammam 31952 ,"Manufacture of prefabricated buildings including telecom shelters, cold stores and refrigerated trucks.",Saudi Arabia,2001, Also known as: RSE Last updated on: 19 November 2018 ,Rawabi Specialized Enclosures ,50,Private,Industrial Manufacturing,"Tel: +966 13-812-3282,Fax: +966 13-812-3292,Email: info@rse.com.sa,www.rse.com.sa,"
3638," Al Umam Commercial Center Salaheddine Al Ayoubi Street 2nd, 4th, 6th and 7th Floor Al Malaz Area 55471 Saudi Arabia Riyadh 11534 ","Develops software solutions including system integration, facility management, business intelligence and enterprise resources planning applications. provides information technology consulting and outsourcing services.",Saudi Arabia,2005, Also known as: EJADA Last updated on: 28 September 2018 ,EJADA Systems Company Limited ,400,Private,Information Technology,"Tel: +966 11-472-5240,Tel: +966 11-472-2277,Fax: +966 11-472-5245,Fax: +966 11-472-4772,Email: info@ejada.com,www.ejada.com,"
3639, Saudi Arabia Jeddah,Provides free to air broadcasting services; ownership and operation of satellite channels.,Saudi Arabia,1977, Also known as: AMC Last updated on: 20 September 2018 ,Arab Media Corporation Holding (dissolved),-,Private,Media,
3640, Saudi Arabia Jeddah,Provides free to air broadcasting services; ownership and operation of satellite channels.,Saudi Arabia,1977, Also known as: AMC Last updated on: 20 September 2018 ,Arab Media Corporation Holding (dissolved),-,Private,Media,
3641," Al Othaim Holding Company Building Eastern Ring Road, Exit 14 Al Rabwa Area 28090 Saudi Arabia Riyadh 11437 ",Provides real estate property investment and development; ownership and operation of shopping malls.,Saudi Arabia,1998, Also known as: ORIDCO Last updated on: 07 February 2019 ,Abdullah Al Othaim Real Estate Investment and Development Company ,120,Private,Real Estate,"Tel: +966 11-254-0000,Fax: +966 11-254-6666,Email: malls@othaim.com,Email: info@othaim.com,www.othaimmalls.com,"
3642, Roshan Mall Building King Abdulaziz Road Al Murjan District 32200 Saudi Arabia Jeddah 23713 ,Ownership and operation of a shopping mall.,Saudi Arabia,2006, Last updated on: 16 November 2018 ,Roshan Mall ,100,Private,Real Estate,"Tel: +966 12-622-6720,Fax: +966 12-699-0670,"
3643, Al Othaim Mall Dammam Prince Mohammed Bin Fahd Road Abdullah Fuad Area 28090 Saudi Arabia Dammam 11437 ,Entertainment and shopping mall.,Saudi Arabia,2006, Also known as: Othaim Mall Last updated on: 24 September 2018 ,Al Othaim Mall Dammam ,35,Private,Real Estate,"Tel: +966 13-831-8881,Email: malls@othaim.com,Email: info@othaimmals.com,"
3644, Khurais Mall 28 Khurais Road 341904 Saudi Arabia Riyadh 11333 ,Ownership and operation of a shopping mall.,Saudi Arabia,2003, Last updated on: 19 November 2018 ,Khurais Mall ,13,Private,Real Estate,"Tel: +966 11-209-6575,Tel: +966 11-464-9529,Tel: +966 11-209-6500,Fax: +966 11-209-6560,Email: khuraismall@arabiancentres.com,Email: info@arabiancentres.com,www.khuraismall.com,"
3645, Emaar Middle East LLC Building King Abdullah Road 100682 Saudi Arabia Jeddah Saudi Arabia. ,"Real estate property investment, development and management.",Saudi Arabia,2006," Also known as: EME, Emaar ME, Emaar Middle East Last updated on: 21 September 2018 ",Emaar Middle East LLC ,80,Foreign,Real Estate,"Tel: +966 92-002-2566,Email: info@emaar.ae,www.emaarme.com.sa,"
3646, Al Dabal Commercial Tower Prince Mohammad Street 1 2nd Floor Prince Mohammad Quarter Area 5480 Saudi Arabia Dammam 31422 ,Provides internet services and webhosting solutions; provides software solutions including cloud and security solutions.,Saudi Arabia,1989, Last updated on: 22 March 2018 ,Sahara Net LLC ,230,Private,Telecommunications,"Tel: +966 13-832-2299,Fax: +966 13-834-5652,Email: sales@sahara.com,https://www.sahara.com,"
3647, Al Mas Center Tahila Street 9th Floor Al Olaya Area 29303 Saudi Arabia Riyadh 11457 ,Ownership and operation of clothing accessories and furniture retail outlet. Through its main subsidiaries; it provides ownership and operation of secondary schools.,Saudi Arabia,1987, Also known as: Anwal Last updated on: 12 July 2019 ,Anwal United Trading Company ,500,Private,Retail,"Tel: +966 11-201-3000,Fax: +966 11-201-2855,Email: info@anwal.com,www.anwal.com,"
3648, Bank Al Bilad Building Makkah Road 3 2nd Floor 507 Saudi Arabia Jeddah 21421 ,Holding company with activities in distribution of tires; provides automotive repair and maintenance services; provides direct investment in real estate sector.,Saudi Arabia,1954, Also known as: Al Amoudi Holding Last updated on: 20 December 2018 ,Saeed Mohammed Al Amoudi Holding ,,Private,Transport,"Tel: +966 12-681-1777,Fax: +966 12-687-9054,Email: info@smalamoudi.com.sa,www.smalamoudi.com.sa,"
3649, Arabian Bulk Trade Limited Building Salahuddin Al Ayoubi Street 2194 Saudi Arabia Al Khobar 31952 ,"Holding company with activities in distribution of cement; distribution of construction chemicals including epoxy coatings and floor hardeners; manufacture of metal products scaffolding metal structures,angles, formwork systems, drywall, beads and bars; provides business consulting services; long distance truck transportation services.",Saudi Arabia,1977," Also known as: ABT, ABT Group Last updated on: 21 August 2018 ",Arabian Bulk Trade Limited ,550,Private,Industrial Manufacturing,"Tel: +966 13-882-3030,Fax: +966 13-882-8240,Email: abt@abtltd.com.sa,https://www.theabtgroup.com,"
3650, Northern Area Armed Forces Hospital King Khalid Military City 10018 Saudi Arabia Hafar Al Batin 31991 ,Ownership and operation of general hospitals. Through its main subsidiaries; it provides ownership and operation of an elementary school.,Saudi Arabia,1989, Also known as: NAAFH Last updated on: 31 August 2018 ,Northern Area Armed Forces Hospital ,1000,Government,Health Care,"Tel: +966 13-787-1777,Tel: +966 13-787-3466,Fax: +966 13-787-3101,Fax: +966 13-787-0647,Email: admin@kkmch.med.sa,www.kkmch.med.sa,"
3651, United Industrial Investments Company Building Al Kharj Street Riyadh Industrial City 2 7532 Saudi Arabia Riyadh 11472 ,"Manufacture of decorative, wood, protective, industrial paints and coatings, industrial finishes and adhesives.",Saudi Arabia,1976, Also known as: UNIVEST Last updated on: 26 April 2019 ,United Industrial Investments Company ,100,Private,Industrial Manufacturing,"Tel: +966 11-265-0078,Fax: +966 11-265-0723,Email: info@univest.com.sa,www.univest.com.sa,"
3652," Jamjoom Commercial Center, Tower - 1 Palestine Street 10th Floor Al Hamra District 704 Saudi Arabia Jeddah 21421 ","Distribution of passenger cars, trucks and spare parts; provides automotive repair and maintenance services.",Saudi Arabia,1990," Also known as: M Y Naghi Motors, MYNM, Naghi Motors Last updated on: 30 November 2018 ",Mohamed Yousuf Naghi Motors LLC ,3200,Private,Transport,"Tel: +966 12-263-9400,Tel: +966 12-224-3016,Fax: +966 12-660-3787,Email: marketing.services@naghi-group.com,"
3653, Gulf Ferro Alloys Company W.L.L. (SABAYEK) Building Jubail Industrial City 11823 Saudi Arabia Jubail 31961 ,Production of ferro alloys.,Saudi Arabia,1992, Also known as: SABAYEK Last updated on: 13 August 2018 ,Gulf Ferro Alloys Company W.L.L. (SABAYEK) ,200,Foreign,Mining and Metals,"Tel: +966 13-358-4444,Fax: +966 13-358-3112,Email: info@sabayek.com,"
3654, Golden Tulip Resort Dana Bay Building Half Moon Bay Street Al Sharqiya Area 2423 Saudi Arabia Al Khobar 31952 ,Ownership and operation of a resort.,Saudi Arabia,2009, Last updated on: 27 August 2018 ,Golden Tulip Resort Dana Bay ,350,Private,Leisure and Tourism,"Tel: +966 13-896-3666,Fax: +966 13-896-3700,Email: info@goldentulipdanabay.com,www.goldentulipdanabay.com,"
